year,mon,yearmon,num,sdev,obvs
1749,1,1749.042,96.7,-1,-1
1749,2,1749.123,104.3,-1,-1
1749,3,1749.204,116.7,-1,-1
1749,4,1749.288,92.8,-1,-1
1749,5,1749.371,141.7,-1,-1
1749,6,1749.455,139.2,-1,-1
1749,7,1749.538,158,-1,-1
1749,8,1749.623,110.5,-1,-1
1749,9,1749.707,126.5,-1,-1
1749,10,1749.79,125.8,-1,-1
1749,11,1749.874,264.3,-1,-1
1749,12,1749.958,142,-1,-1
1750,1,1750.042,122.2,-1,-1
1750,2,1750.123,126.5,-1,-1
1750,3,1750.204,148.7,-1,-1
1750,4,1750.288,147.2,-1,-1
1750,5,1750.371,150,-1,-1
1750,6,1750.455,166.7,-1,-1
1750,7,1750.538,142.3,-1,-1
1750,8,1750.623,171.7,-1,-1
1750,9,1750.707,152,-1,-1
1750,10,1750.79,109.5,-1,-1
1750,11,1750.874,105.5,-1,-1
1750,12,1750.958,125.7,-1,-1
1751,1,1751.042,116.7,-1,-1
1751,2,1751.123,72.5,-1,-1
1751,3,1751.204,75.5,-1,-1
1751,4,1751.288,94,-1,-1
1751,5,1751.371,101.2,-1,-1
1751,6,1751.455,84.5,-1,-1
1751,7,1751.538,110.5,-1,-1
1751,8,1751.623,99.7,-1,-1
1751,9,1751.707,39.2,-1,-1
1751,10,1751.79,38.7,-1,-1
1751,11,1751.874,47.5,-1,-1
1751,12,1751.958,73.3,-1,-1
1752,1,1752.042,58.3,-1,-1
1752,2,1752.124,83.3,-1,-1
1752,3,1752.206,118.3,-1,-1
1752,4,1752.29,98.8,-1,-1
1752,5,1752.373,99.5,-1,-1
1752,6,1752.456,66,-1,-1
1752,7,1752.54,130.7,-1,-1
1752,8,1752.624,48.8,-1,-1
1752,9,1752.708,45.2,-1,-1
1752,10,1752.791,77.7,-1,-1
1752,11,1752.874,62.7,-1,-1
1752,12,1752.958,66.7,-1,-1
1753,1,1753.042,73.3,-1,-1
1753,2,1753.123,53.3,-1,-1
1753,3,1753.204,76.2,-1,-1
1753,4,1753.288,63.3,-1,-1
1753,5,1753.371,60,-1,-1
1753,6,1753.455,52.8,-1,-1
1753,7,1753.538,36.7,-1,-1
1753,8,1753.623,65,-1,-1
1753,9,1753.707,46.7,-1,-1
1753,10,1753.79,41.7,-1,-1
1753,11,1753.874,33.3,-1,-1
1753,12,1753.958,11.2,-1,-1
1754,1,1754.042,0,-1,-1
1754,2,1754.123,5,-1,-1
1754,3,1754.204,2.8,-1,-1
1754,4,1754.288,22.8,-1,-1
1754,5,1754.371,34.5,-1,-1
1754,6,1754.455,44.5,-1,-1
1754,7,1754.538,31.3,-1,-1
1754,8,1754.623,20.5,-1,-1
1754,9,1754.707,13.7,-1,-1
1754,10,1754.79,40.2,-1,-1
1754,11,1754.874,22,-1,-1
1754,12,1754.958,7,-1,-1
1755,1,1755.042,17,-1,-1
1755,2,1755.123,18.7,-1,-1
1755,3,1755.204,11.3,-1,-1
1755,4,1755.288,10.8,-1,-1
1755,5,1755.371,0,-1,-1
1755,6,1755.455,0,-1,-1
1755,7,1755.538,14.3,-1,-1
1755,8,1755.623,5.3,-1,-1
1755,9,1755.707,29.7,-1,-1
1755,10,1755.79,39.5,-1,-1
1755,11,1755.874,11.3,-1,-1
1755,12,1755.958,33.3,-1,-1
1756,1,1756.042,20.8,-1,-1
1756,2,1756.124,11.8,-1,-1
1756,3,1756.206,9,-1,-1
1756,4,1756.29,15.7,-1,-1
1756,5,1756.373,20.8,-1,-1
1756,6,1756.456,21.5,-1,-1
1756,7,1756.54,6,-1,-1
1756,8,1756.624,10.7,-1,-1
1756,9,1756.708,19.7,-1,-1
1756,10,1756.791,23.8,-1,-1
1756,11,1756.874,28.3,-1,-1
1756,12,1756.958,15.7,-1,-1
1757,1,1757.042,23.5,-1,-1
1757,2,1757.123,35.3,-1,-1
1757,3,1757.204,43.7,-1,-1
1757,4,1757.288,50,-1,-1
1757,5,1757.371,63.5,-1,-1
1757,6,1757.455,21.3,-1,-1
1757,7,1757.538,41.7,-1,-1
1757,8,1757.623,85.5,-1,-1
1757,9,1757.707,66.2,-1,-1
1757,10,1757.79,54.2,-1,-1
1757,11,1757.874,107.8,-1,-1
1757,12,1757.958,55.8,-1,-1
1758,1,1758.042,62.7,-1,-1
1758,2,1758.123,86.7,-1,-1
1758,3,1758.204,81.7,-1,-1
1758,4,1758.288,120.5,-1,-1
1758,5,1758.371,77.3,-1,-1
1758,6,1758.455,75,-1,-1
1758,7,1758.538,73.3,-1,-1
1758,8,1758.623,64.5,-1,-1
1758,9,1758.707,104.2,-1,-1
1758,10,1758.79,62.8,-1,-1
1758,11,1758.874,71.7,-1,-1
1758,12,1758.958,71.7,-1,-1
1759,1,1759.042,80.5,-1,-1
1759,2,1759.123,73.3,-1,-1
1759,3,1759.204,78,-1,-1
1759,4,1759.288,78.3,-1,-1
1759,5,1759.371,81.7,-1,-1
1759,6,1759.455,83.3,-1,-1
1759,7,1759.538,85,-1,-1
1759,8,1759.623,118.8,-1,-1
1759,9,1759.707,128.7,-1,-1
1759,10,1759.79,99.5,-1,-1
1759,11,1759.874,77.2,-1,-1
1759,12,1759.958,95,-1,-1
1760,1,1760.042,112.2,-1,-1
1760,2,1760.124,99.2,-1,-1
1760,3,1760.206,124.5,-1,-1
1760,4,1760.29,97.2,-1,-1
1760,5,1760.373,120,-1,-1
1760,6,1760.456,80.5,-1,-1
1760,7,1760.54,110,-1,-1
1760,8,1760.624,126,-1,-1
1760,9,1760.708,102.2,-1,-1
1760,10,1760.791,84.3,-1,-1
1760,11,1760.874,99.5,-1,-1
1760,12,1760.958,101.7,-1,-1
1761,1,1761.042,116.7,-1,-1
1761,2,1761.123,151.7,-1,-1
1761,3,1761.204,134.5,-1,-1
1761,4,1761.288,119.5,-1,-1
1761,5,1761.371,178.7,-1,-1
1761,6,1761.455,165.5,-1,-1
1761,7,1761.538,156.8,-1,-1
1761,8,1761.623,151.8,-1,-1
1761,9,1761.707,167.8,-1,-1
1761,10,1761.79,147.8,-1,-1
1761,11,1761.874,149.5,-1,-1
1761,12,1761.958,76.7,-1,-1
1762,1,1762.042,73,-1,-1
1762,2,1762.123,121.3,-1,-1
1762,3,1762.204,76.2,-1,-1
1762,4,1762.288,100.3,-1,-1
1762,5,1762.371,66.5,-1,-1
1762,6,1762.455,128.5,-1,-1
1762,7,1762.538,56.3,-1,-1
1762,8,1762.623,112.8,-1,-1
1762,9,1762.707,114.2,-1,-1
1762,10,1762.79,115.5,-1,-1
1762,11,1762.874,129.7,-1,-1
1762,12,1762.958,128.7,-1,-1
1763,1,1763.042,94.2,-1,-1
1763,2,1763.123,53.2,-1,-1
1763,3,1763.204,57,-1,-1
1763,4,1763.288,54.8,-1,-1
1763,5,1763.371,54.5,-1,-1
1763,6,1763.455,59.7,-1,-1
1763,7,1763.538,90.3,-1,-1
1763,8,1763.623,44.2,-1,-1
1763,9,1763.707,113.5,-1,-1
1763,10,1763.79,77.2,-1,-1
1763,11,1763.874,101.5,-1,-1
